gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000167768.4,KRT1,-5.55769012275,-0.124820199552,2.73368148376e-08,0.269254239561,0.207913858925,9.3004971371e-19,3.08507785671e-18,133,137,137
ENSG00000148297.11,MED22,-4.61652443366,-0.166615308684,3.90220097919e-06,0.148044564281,0.26106971494,7.11029031496e-24,3.40281083634e-23,9,9,9
ENSG00000186081.7,KRT5,-4.00917980168,-0.185688720823,6.09300110919e-05,0.0548753549601,0.02598116867,0.0029600096816,0.00175399856298,42,44,44
ENSG00000174652.13,ZNF266,-3.88400260358,-0.0786524535075,0.000102750806208,0.484987311998,0.618414547393,2.81476515855e-72,2.35289568148e-70,35,35,35
ENSG00000185479.5,KRT6B,-3.65630305674,-0.315900711811,0.000255878828997,0.00869293430455,0.0134221406621,0.033234955927,0.0154027878585,12,14,14
ENSG00000105953.10,OGDH,3.58049102797,0.253702593761,0.00034294911986,0.0108633471669,0.0168997072854,0.016788726104,0.00836346595646,9,9,9
ENSG00000172954.9,LCLAT1,3.54395454506,0.155370939001,0.000394173197212,0.0616403753161,0.125089865305,2.14352884214e-11,3.65922653368e-11,12,12,12
ENSG00000148296.5,SURF6,-3.45905631855,-0.0997535764139,0.000542071546765,0.248530178206,0.388772732867,8.38801247765e-38,9.6049855025e-37,16,16,16
ENSG00000115091.7,ACTR3,-3.45453374405,-0.198634746506,0.000551245228688,0.0164910335284,0.0382056472448,0.000300166749264,0.000215993936814,14,14,14
ENSG00000196458.6,ZNF605,-3.45044947672,-0.157189453551,0.000559653910423,0.0881322434935,0.0965232701439,5.35658919116e-09,7.19877271506e-09,28,29,29
ENSG00000011007.8,TCEB3,-3.4423023414,-0.41733189343,0.000576785205754,0.0122741290449,0.0278891039444,0.00206618202483,0.00125824147736,5,5,5
ENSG00000114446.4,IFT57,3.38406254364,0.179204731131,0.000714217317569,0.0415735490241,0.0696067836122,8.65672533791e-07,9.10221345085e-07,35,35,35
ENSG00000167280.12,ENGASE,3.36483751122,0.0784014249218,0.000765887485128,0.131426510931,0.184949442925,1.19794020035e-16,3.26534499323e-16,31,31,31
ENSG00000166664.9,CHRFAM7A,-3.26957562348,-0.0725719328582,0.00107708942167,0.131124945051,0.166961994025,4.92760937758e-15,1.17799255461e-14,34,34,34
ENSG00000092964.12,DPYSL2,3.23642313282,0.318819649384,0.00121037820043,0.00429385535708,0.00976583478535,0.0695949129624,0.0291313047927,6,7,7
ENSG00000106245.5,BUD31,3.23400466194,0.194370786638,0.00122067463034,0.0192026287374,0.00957650653406,0.07237098529,0.0301473924691,24,24,24
ENSG00000198563.9,DDX39B,3.23052057718,0.147764841275,0.00123565009648,0.0700327435718,0.122760927679,3.38058908482e-11,5.67444705357e-11,12,12,12
ENSG00000134109.6,EDEM1,-3.19974947359,-0.234891777138,0.0013754709089,0.0170810101159,0.0197314982776,0.00971662308384,0.00513661540322,22,23,23
ENSG00000182544.8,MFSD5,3.13502706017,0.177451327565,0.00171838259696,0.0333470178171,0.0251936432625,0.00343478269025,0.00201015802485,25,26,26
ENSG00000121413.8,ZSCAN18,-3.09957695007,-0.631619017843,0.00193797229474,0.0030004991438,0.0194196305129,0.0103165503643,0.00541351360884,1,1,1
ENSG00000188312.9,CENPP,-3.08778310988,-0.185985048205,0.00201655588579,0.0499816022778,0.0857661636809,4.13669892539e-08,5.08267884865e-08,30,31,31
ENSG00000170322.10,NFRKB,3.08661473588,0.0690669072597,0.00202449799479,0.217449850809,0.201714442735,3.49722445045e-18,1.10315906504e-17,83,87,87
ENSG00000124466.8,LYPD3,-3.084265703,-0.122285804434,0.00204055265103,0.0726696268804,0.054778470993,1.37690098117e-05,1.22097020183e-05,41,42,42
ENSG00000152240.8,HAUS1,-3.06955605746,-0.222950544615,0.00214377169982,0.0107866686239,0.0284833476462,0.00184775587198,0.00113682123279,8,8,8
ENSG00000109944.6,C11orf63,3.06578201593,0.127451979213,0.00217101530201,0.0495391438778,0.0750252121668,3.13367599251e-07,3.46797490043e-07,24,25,25
ENSG00000196110.3,ZNF699,-3.05653850645,-0.350090880071,0.00223908718713,0.0113244870526,0.0232794436433,0.00493629630863,0.00279118972377,19,19,19
ENSG00000104972.10,LILRB1,-3.04518445572,-0.171705126768,0.00232537645526,0.0540833286997,0.142096026157,7.45442640731e-13,1.44241752647e-12,4,4,4
ENSG00000133226.12,SRRM1,3.03189689893,0.364046120869,0.0024302219496,0.00784017738401,0.00799604029753,0.10076079593,0.0400890756803,10,10,10
ENSG00000166971.12,AKTIP,-3.02875969553,-0.384848553217,0.00245559922875,0.0108714033772,0.0388601649998,0.000265725220769,0.000193430658811,5,5,5
