gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000148297.11,MED22,-7.41125801324,-0.194053774661,1.25106912108e-13,0.148044564281,0.26106971494,7.11029031496e-24,3.40281083634e-23,9,9,9
ENSG00000148296.5,SURF6,-6.74897861588,-0.138770441459,1.48889529126e-11,0.248530178206,0.388772732867,8.38801247765e-38,9.6049855025e-37,16,16,16
ENSG00000185479.5,KRT6B,-5.13196471073,-0.346268779694,2.86733267254e-07,0.00869293430455,0.0134221406621,0.033234955927,0.0154027878585,12,14,14
ENSG00000186081.7,KRT5,-5.10886207932,-0.17221255567,3.24104820864e-07,0.0548753549601,0.02598116867,0.0029600096816,0.00175399856298,42,44,44
ENSG00000078114.14,NEBL,-4.42069766091,-0.0938005701321,9.8382745613e-06,0.177624301478,0.236499473002,1.8173873259e-21,7.41777196571e-21,29,29,29
ENSG00000167768.4,KRT1,-4.30413273481,-0.0622132880755,1.67641137445e-05,0.269254239561,0.207913858925,9.3004971371e-19,3.08507785671e-18,133,137,137
ENSG00000103089.4,FA2H,-4.27289056778,-1.75313571781,1.92955167311e-05,0.000581547663209,0.00683063832785,0.129411794029,0.0493937539259,1,1,1
ENSG00000108846.11,ABCC3,-4.20800879669,-0.104994317521,2.57630839901e-05,0.159156874007,0.217602998535,1.15047418688e-19,4.04073554313e-19,33,33,33
ENSG00000172551.6,MUCL1,-4.08447157304,-0.143575970974,4.41772339793e-05,0.0501076612042,0.0342180917148,0.000631332098933,0.000427895685444,35,35,35
ENSG00000189182.5,KRT77,-3.95038089434,-0.0854853209755,7.80269198252e-05,0.0352560227601,0.0862870394665,3.74832328769e-08,4.6327274927e-08,4,4,4
ENSG00000124466.8,LYPD3,-3.7887444919,-0.11193360564,0.000151410537654,0.0726696268804,0.054778470993,1.37690098117e-05,1.22097020183e-05,41,42,42
ENSG00000261652.2,C15orf65,-3.71740174399,-0.167593650359,0.000201282229894,0.0336467532873,0.0429340271106,0.00012452941456,9.5325658495e-05,10,10,10
ENSG00000089356.12,FXYD3,-3.68236885775,-0.138613022144,0.000231076744456,0.0438513960595,0.0244888221649,0.00392474634872,0.00226414227955,40,40,40
ENSG00000124302.8,CHST8,-3.65782526948,-0.21694308655,0.000254364350734,0.0191854749721,0.056915974997,9.249703644e-06,8.43790903648e-06,3,3,3
ENSG00000108294.4,PSMB3,3.63391721065,0.104638497389,0.000279150467872,0.0940481047667,0.166367289174,5.56485636034e-15,1.32026385046e-14,17,18,18
ENSG00000105825.7,TFPI2,3.56546159213,0.123992490043,0.000363216353491,0.0337429353437,0.0271122650464,0.00239151542625,0.00144269631593,34,34,34
ENSG00000148290.5,SURF1,3.54514255043,0.174562110578,0.000392400808598,0.0580081998947,0.0984678362941,3.69474737957e-09,5.03010307591e-09,27,27,27
ENSG00000176473.9,WDR25,3.52967769786,0.0869236743454,0.000416066191245,0.164927044305,0.192067099036,2.69477753735e-17,7.79445190829e-17,36,37,37
ENSG00000077800.7,FKBP6,3.50263683959,0.168891425576,0.000460677086566,0.0277960095143,0.0196563825179,0.00985778810789,0.00520217320146,19,21,21
ENSG00000086504.11,MRPL28,-3.50068210707,-1.09119203521,0.000464069052082,0.000295801115322,0.0990362239172,3.31426276638e-09,4.53673309071e-09,2,3,3
ENSG00000263264.1,CTB-133G6.1,-3.44123003049,-0.244803660665,0.000579076010691,0.0133869652495,0.00868659762826,0.0871042794718,0.0353682821084,15,15,15
ENSG00000169738.3,DCXR,-3.43519314768,-0.246684522441,0.00059213163054,0.0145987381037,0.0298721836416,0.00142364801948,0.000897227016593,2,2,2
ENSG00000106245.5,BUD31,3.41276311291,0.128984419223,0.000643078152189,0.0192026287374,0.00957650653406,0.07237098529,0.0301473924691,24,24,24
ENSG00000170477.8,KRT4,-3.40763943628,-1.18738217599,0.000655274194028,0.000125588459512,0.0118900134288,0.04515034727,0.0200860630162,4,4,4
ENSG00000126216.8,TUBGCP3,3.3636770116,0.085930318545,0.000769114965189,0.154655044229,0.206203796861,1.34152946543e-18,4.4207638875e-18,57,59,59
ENSG00000164938.9,TP53INP1,-3.34549161473,-0.237282776219,0.00082136842733,0.0225411827683,0.0500016040233,3.34741320727e-05,2.79162872161e-05,16,16,16
ENSG00000172123.8,SLFN12,-3.32875795378,-0.0990094119511,0.000872341810085,0.0612264295242,0.101754734973,1.9693941862e-09,2.7792459688e-09,17,18,18
ENSG00000166526.12,ZNF3,3.32673824582,0.61715514649,0.000878688699648,0.000362100260824,0.00856455269639,0.0893642126297,0.0361512865521,2,2,2
ENSG00000118363.7,SPCS2,3.32590229676,0.243915677427,0.000881328156999,0.00848469671826,0.00927831194805,0.0769858736519,0.0318213652399,11,12,12
ENSG00000145020.10,AMT,3.30011000278,0.0700588588745,0.000966469378785,0.186054669715,0.268693541322,1.22769243194e-24,6.24488463848e-24,24,24,24
ENSG00000181481.9,RNF135,3.27341864857,1.4791896668,0.00106254971962,0.000196499472004,0.0118717902069,0.045316347735,0.0201527615735,3,3,3
ENSG00000103174.7,NAGPA,-3.26660434814,-0.434372851875,0.00108845685655,0.0060217528694,0.00849481709807,0.0906838733141,0.0366201587008,5,5,5
ENSG00000111843.9,TMEM14C,-3.24623090539,-0.375685744333,0.00116943946076,0.0029267285492,0.00814888532393,0.0975494906236,0.0389970252011,2,2,2
ENSG00000163382.7,APOA1BP,3.24059097718,0.159717687177,0.00119282202466,0.00800233028177,0.0125537222776,0.0395183404804,0.0178529188966,5,5,5
ENSG00000185055.6,EFCAB10,-3.19626075365,-0.135613448947,0.00139221231642,0.0325930520792,0.0307690512037,0.00120333384268,0.000768239109758,31,31,31
ENSG00000204267.9,TAP2,3.1770141003,0.0991944936042,0.00148799801287,0.081531756905,0.157859780841,3.14258913325e-14,6.94342107975e-14,30,31,31
ENSG00000116406.14,EDEM3,-3.17397845604,-0.244785709433,0.00150364851159,0.0197208126165,0.0455095281095,7.71492961342e-05,6.08970863398e-05,18,18,18
ENSG00000108405.3,P2RX1,3.16892942577,0.0479848068559,0.00153001541849,0.38854481522,0.551788378467,1.64318495451e-60,6.98419246467e-59,8,8,8
ENSG00000198133.4,TMEM229B,3.16180756615,0.162858442157,0.00156793141161,0.0264494178412,0.046696903494,6.18703626043e-05,4.95859751991e-05,11,11,11
ENSG00000181444.8,ZNF467,3.1563318087,0.10263043848,0.00159766998923,0.0478875530647,0.054243000562,1.52113993605e-05,1.34034325569e-05,20,20,20
ENSG00000143198.8,MGST3,-3.10778102132,-0.0908032248044,0.00188497679296,0.141038670418,0.21786197901,1.08760291992e-19,3.83064699131e-19,28,28,28
ENSG00000143442.17,POGZ,3.10756576762,0.0786826653659,0.00188635008258,0.0964976304091,0.139917883919,1.14986525045e-12,2.18948984523e-12,20,21,21
ENSG00000256771.2,ZNF253,-3.07887893145,-0.146091002994,0.00207781101514,0.0267206286942,0.0469475452057,5.90541475234e-05,4.75111303598e-05,15,15,15
ENSG00000107020.5,PLGRKT,3.07865255678,0.177846567716,0.00207939034541,0.030790564699,0.0459156474373,7.15398333917e-05,5.6737189559e-05,16,16,16
ENSG00000102699.5,PARP4,-3.0752928257,-0.543433562679,0.00210295972449,0.00228865021623,0.0073518538776,0.115620640906,0.0449668125916,1,1,1
ENSG00000051825.10,MPHOSPH9,-3.05507120136,-0.200481825996,0.00225007097626,0.0277989997178,0.0190583870217,0.0110589037667,0.00576445804566,20,20,20
ENSG00000161298.12,ZNF382,3.05017081385,0.209513702544,0.00228711248074,0.0152554826519,0.0185594380677,0.0121748960154,0.00628347833886,14,14,14
ENSG00000160282.9,FTCD,3.04965839864,0.260346328016,0.00229101785825,0.0111067038971,0.0173416919165,0.0154080872757,0.00776359460747,12,12,12
ENSG00000197043.9,ANXA6,3.03469828781,0.159004193202,0.00240776422162,0.0255383461266,0.0613006431381,4.08630930545e-06,3.90674177728e-06,9,10,10
